Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
List century friend morning spend.,Neutral,11/21/2023 04:18,millerkathy,YouTube,#learn #range,78,297,BI,2019,2,9,1
Meeting pass industry guess trouble should ground.,Negative,09/29/2023 21:28,pcarter,Instagram,#end #amount,63,20,BT,2023,12,22,2
Spring try nature author international know view.,Neutral,03/28/2020 13:01,kreed,YouTube,#nature #arm,61,453,AD,2015,6,7,15
Recent late indicate ever newspaper level wife.,Negative,08/28/2023 01:31,susanfarmer,YouTube,#surface #whether,93,435,ZA,2015,3,1,17
Act attention decide certainly local.,Negative,03/04/2024 04:32,trujillotimothy,YouTube,#effort #Republican,12,134,CZ,2003,7,22,15
Price dog good provide expect get.,Positive,03/29/2023 16:18,stevencastillo,Instagram,#debate #he,26,466,NA,2004,6,11,12
Design theory consider couple total family.,Neutral,03/28/2020 14:45,shernandez,Instagram,#federal #Republican,48,401,SL,2000,6,3,0
Ground compare manage interest.,Positive,12/06/2024 09:50,yclark,Instagram,#star #media,95,74,TW,2017,6,19,10
Professional agreement black fill month.,Negative,05/04/2024 16:11,erik26,YouTube,#according #foot,92,350,SB,2021,11,20,3
Operation every since leg artist west democratic lay.,Positive,04/29/2022 20:39,kristen56,Instagram,#director #plant,30,239,PY,2016,2,10,14
