product_id,seller_id,product_name,product_category,product_description,stock_quantity,price,sales_revenue,quantity_sold,trend_score,days_in_inventory,reorder_threshold,competitor_price,profit_margin,customer_purchase_frequency
a71eaeb5-e7d6-4905-b94d-febf65fa3871,27,Sony Camera,Electronics,Premium noise-canceling camera,255,748.38,7083,36,0.79,117,94,1659.34,397.28,9
a71eaeb5-e7d6-4905-b94d-febf65fa3877,27,Sony Earbuds,Electronics,Premium noise-canceling buds,275,753.38,7093,38,0.82,149,83,1513.37,540.39,9
a71eaeb5-e7d6-4905-b94d-febf65fa3879,27,bot Earbuds,Electronics,Premium noise-canceling buds,285,758.38,7099,39,0.85,336,16,1506.87,255.6,1
a71eaeb5-e7d6-4905-b94d-febf65fa3872,27,Sony WH-1000XM5,Electronics,Premium noise-canceling headphones with exceptional audio quality and long battery life.,253,745.38,7053,36,0.78,135,93,817.36,90.21,4
ba0dcad0-958a-453e-9c86-82b83d7325a0,43,LG OLED CX TV,Electronics,A high-end OLED TV with stunning picture quality and advanced gaming features.,10,1282.06,1875.86,17,0.82,261,94,1604.98,230.8,12
0bb96d9c-abed-496b-adf2-e3b7c91b819a,45,Sony WH-1000XM5,Electronics,Premium noise-canceling headphones with exceptional audio quality and long battery life.,188,1656.49,7481.88,31,0.78,165,14,474.46,154.54,15
0bf3f5a1-46d2-46b5-8e0d-592c654287a3,32,Adidas Ultraboost,Clothing,Comfortable and high-performance running winter shoes with responsive cushioning.,194,15.4,7032.98,36,0.76,297,66,943.49,332.03,15
00ecabd5-ba6f-48a7-b724-30e809b8148b,18,Dyson V11 Vacuum,Home Appliances,"A high-performance cordless vacuum cleaner with powerful suction and advanced filtration, ideal for deep cleaning your home.",226,299.81,9147.67,36,0.75,28,89,163.33,51.02,18
0b8393cc-7c08-446e-809a-52cc26045f23,18,iPhone 14 Pro,Electronics,"Apple's flagship smartphone with advanced features, including a powerful A15 Bionic chip, ProMotion display, and improved camera system.",272,1431.36,9320.65,82,0.85,112,59,1745.99,473.95,14
11422469-8c6a-4d38-a369-edbfdbed5c5c,27,Cake,Food,Tasty Chocolate cake.,393,750.21,4220.55,94,0.75,278,11,1401.12,146.46,16
c55ef822-c9f7-4829-be47-c5dabac67d68,44,Instant Pot Duo,Home Appliances,Multi-functional pressure cooker with a variety of cooking modes for easy meal preparation.,455,1509.35,1162.19,96,0.7,92,35,1612.42,479.62,20
450628f2-9e39-4e2c-b455-8a67838af794,27,KitchenAid Stand Mixer,Home Appliances,"Powerful and durable stand mixer for Summer to make juice, perfect for baking and culinary creations.",434,596.66,5201.35,90,0.7,140,39,1884.88,446.97,6
639d4baf-d022-4466-845b-1f9ea6d1ba89,21,Samsung Galaxy S23,Electronics,Samsung's latest smartphone with cutting-edge features like a high-refresh-rate display and top-notch camera technology.,90,1966.3,2918.66,23,0.8,253,78,1517.24,311.88,20
